Cell type,organism,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),ros,shape ,tissue,source
MC3T3-E1,mouse,CCK-8,Ag,24,10,94,8.6,,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,24,10,97,8.6,,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,24,10,94,8.6,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,24,10,98,8.6,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,24,10,89,46,,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,24,10,94,46,,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,24,10,72,46,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,24,10,78,46,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,24,10,77,75,,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,24,10,76,75,,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,24,10,71,75,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,24,10,75,75,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,48,10,88,8.6,31,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,48,10,89,8.6,41,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,48,10,85,8.6,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,48,10,91,8.6,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,48,10,77,46,29,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,48,10,78,46,45,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,48,10,74,46,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,48,10,75,46,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,48,10,33,75,37,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,48,10,33,75,47,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,48,10,81,75,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,48,10,81,75,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,72,10,73,8.6,,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,72,10,64,8.6,,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,72,10,69,8.6,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,72,10,85,8.6,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,72,10,64,46,,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,72,10,64,46,,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,72,10,61,46,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,72,10,74,46,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,72,10,15,75,,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,72,10,16,75,,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
HeLa,human,CCK-8,Ag,72,10,55,75,,spherical,cervix,"American Type Culture Collection (Rockville, MD)"
CHO cells,Chinese hamster,CCK-8,Ag,72,10,73,75,,spherical,ovaries,"American Type Culture Collection (Rockville, MD)"
MC3T3-E1,mouse,CCK-8,Ag,24,20,86,8.6,,spherical,bone,"American Type Culture Collection (Rockville, MD)"
PC12,rat,CCK-8,Ag,24,20,87,8.6,,spherical,adrenal gland,"American Type Culture Collection (Rockville, MD)"
