;Cell type;test;size, nm;time (hr);concentration (ng/ml);viability (%);shape;charge;Zeta potential (mV);hydrodynamic diameters;polydispersity index;coating ;TNF-_ production, pg/ml 
 AuNPs ;NIH3T3;MTT;25;72;36;80;;;;;;;
 AuNPs ;NIH3T4;MTT;25;72;72;73;;;;;;;
 AuNPs ;NIH3T5;MTT;25;72;180;56;;;;;;;
 AuNPs ;NIH3T6;MTT;25;72;360;49,8;;;;;;;
 AuNPs ;NIH3T7;MTT;25;72;720;42;;;;;;;
 AuNPs ;NIH3T8;MTT;25;72;1000;42;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
 AuNPs ;PK-15;MTT;25;72;36;109;;;;;;;
 AuNPs ;PK-16;MTT;25;72;72;106;;;;;;;
 AuNPs ;PK-17;MTT;25;72;180;103;;;;;;;
 AuNPs ;PK-18;MTT;25;72;360;90;;;;;;;
 AuNPs ;PK-19;MTT;25;72;720;63,6;;;;;;;
 AuNPs ;PK-20;MTT;25;72;1000;47,8;;;;;;;
;;;;;;;;;;;;;
 AuNPs ;VERO;MTT;25;72;36;101,2;;;;;;;
 AuNPs ;VERO;MTT;25;72;72;91,8;;;;;;;
 AuNPs ;VERO;MTT;25;72;180;68;;;;;;;
 AuNPs ;VERO;MTT;25;72;360;41,3;;;;;;;
 AuNPs ;VERO;MTT;25;72;720;28;;;;;;;
 AuNPs ;VERO;MTT;25;72;1000;100;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;charge ;Zeta potential (mV);hydrodynamic diameters;;;
 AuNPs ;A549 ;MTT;;24;6000;91;;positive ;41.5;~40 nm;;;
 AuNPs ;A550;MTT;;24;14000;64;;positive ;41.6;~40 nm;;;
 AuNPs ;A551;MTT;;24;21000;51;;positive ;41.7;~40 nm;;;
 AuNPs ;A552;MTT;;24;35000;7,8;;positive ;41.8;~40 nm;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
AgNPs-PVP;PC3;MTT;122.33_±_17.61;24;0,4;70;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;PC3;MTT;122.33_±_17.61;24;1,6;58;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;PC3;MTT;122.33_±_17.61;24;6,3;49;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;PC3;MTT;122.33_±_17.61;24;25;21;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;PC3;MTT;122.33_±_17.61;24;100;23;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;HSF;MTT;122.33_±_17.61;24;0,4;99;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;HSF;MTT;122.33_±_17.61;24;1,6;97;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;HSF;MTT;122.33_±_17.61;24;6,3;67;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;HSF;MTT;122.33_±_17.61;24;25;32,9;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
AgNPs-PVP;HSF;MTT;122.33_±_17.61;24;100;24,9;spherical;_19.23_±_0.61;;;0.49_±_0.07;;
;;;;;;;;;;;;;
IONP;HF;LDH assay;80;24;10^-6 M;95;;;;;;BSA;
IONP;HF;LDH assay;80;24;10^-5;90;;;;;;BSA;
IONP;HF;LDH assay;80;24;10^-4;93;;;;;;BSA;
IONP;HF;LDH assay;80;24;"10^6
";105;;;;;;BSA;
;;;;;;;;;;;;;
IONP;HF;LDH assay;40;24;10^-6;103;;;;;;BSA;
IONP;HF;LDH assay;40;24;10^-5;88;;;;;;BSA;
IONP;HF;LDH assay;40;24;10^-4;96;;;;;;BSA;
IONP;HF;LDH assay;40;24;10^-3;116;;;;;;BSA;
;;;;;;;;;;;;;
IONP;HF;LDH assay;80;48;10^-6;103;;;;;;BSA;
IONP;HF;LDH assay;80;48;10^-5;107;;;;;;BSA;
IONP;HF;LDH assay;80;48;10^-4;101;;;;;;BSA;
IONP;HF;LDH assay;80;48;10^-3;113;;;;;;BSA;
;;;;;;;;;;;;;
IONP;HF;LDH assay;40;24;10^-6;104;;;;;;;
IONP;HF;LDH assay;40;24;10^-5;100;;;;;;;
IONP;HF;LDH assay;40;24;10^-4;96;;;;;;;
IONP;HF;LDH assay;40;24;10^-3;114;;;;;;;
;;;;;;;;;;;;;
IONP;U251;LDH assay;80;24;10^-6;100,9;;;;;;;
IONP;U252;LDH assay;80;24;10^-5;100,1;;;;;;;
IONP;U253;LDH assay;80;24;10^-4;90,9;;;;;;;
IONP;U254;LDH assay;80;24;10^-3;100,4;;;;;;;
;;;;;;;;;;;;;
IONP;U251;LDH assay;40;24;10^-6;107;;;;;;;
IONP;U252;LDH assay;40;24;10^-5;90;;;;;;;
IONP;U253;LDH assay;40;24;10^-4;94;;;;;;;
IONP;U254;LDH assay;40;24;10^-3;119;;;;;;;
;;;;;;;;;;;;;
IONP;U251;LDH assay;80;48;10^-6;83,7;;;;;;;
IONP;U252;LDH assay;80;48;10^-5;82,3;;;;;;;
IONP;U253;LDH assay;80;48;10^-4;85,8;;;;;;;
IONP;U254;LDH assay;80;48;10^-3;107;;;;;;;
;;;;;;;;;;;;;
IONP;U251;LDH assay;40;48;10^-6;95;;;;;;;
IONP;U252;LDH assay;40;48;10^-5;75;;;;;;;
IONP;U253;LDH assay;40;48;10^-4;92;;;;;;;
IONP;U254;LDH assay;40;48;10^-3;96,9;;;;;;;
