particle,cell line,method,concentration (ug/ml),time (h),coating,Hydrodynamic diameter (nm),Zeta potential (mV),shape,viability (%),charge
AgNP,A549,MTT,1,24,NO,78.1, ,spherical,93.4, 
AgNP,A549,MTT,2.5,24,NO,78.1, ,spherical,76.4, 
AgNP,A549,MTT,5,24,NO,78.1, ,spherical,55.7, 
AgNP,A549,MTT,10,24,NO,78.1, ,spherical,30.6, 
AgNP,A549,MTT,15,24,NO,78.1, ,spherical,28.0, 
AgNP,A549,MTT,1,24,NAC,121.6,-21.8,elongated,93.6, 
AgNP,A549,MTT,2.5,24,NAC,121.6,-21.8,elongated,88.0, 
AgNP,A549,MTT,5,24,NAC,121.6,-21.8,elongated,84.4, 
AgNP,A549,MTT,10,24,NAC,121.6,-21.8,elongated,77.9, 
AgNP,A549,MTT,15,24,NAC,121.6,-21.8,elongated,60.4, 
AgNP,HEK293,MTT,0.005,24,NO,31.1, ,spherical,98.6, 
AgNP,HEK293,MTT,0.05,24,NO,31.1, ,spherical,95.4, 
AgNP,HEK293,MTT,0.5,24,NO,31.1, ,spherical,87.5, 
AgNP,HeLa,MTT,0.005,24,NO,31.1, ,spherical,100.0, 
AgNP,HeLa,MTT,0.05,24,NO,31.1, ,spherical,99.14, 
AgNP,HeLa,MTT,0.5,24,NO,31.1, ,spherical,97.2, 
AgNP,HeLa,MTT,1.25,24,NO,31.1, ,spherical,89.2, 
AgNP,HeLa,MTT,2.5,24,NO,31.1, ,spherical,25.1, 
AgNP,Hep2,MTT,15.625,24,NO,31.1, ,spherical,91.9, 
AgNP,Hep2,MTT,31.25,24,NO,31.1, ,spherical,77.8, 
AgNP,Hep2,MTT,62.5,24,NO,31.1, ,spherical,62.6, 
AgNP,Hep2,MTT,125,24,NO,31.1, ,spherical,53.6, 
AgNP,Hep2,MTT,250,24,NO,31.1, ,spherical,43.48, 
AgNP,Hep2,MTT,500,24,NO,31.1, ,spherical,34.2, 
AgNP,Hep2,MTT,1000,24,NO,31.1, ,spherical,18.3, 
AgNP,Hep2,MTT,15.625,24,NO,31.1, ,spherical,91.9, 
AgNP,Hep2,MTT,31.25,24,NO,31.1, ,spherical,77.8, 
AgNP,Hep2,MTT,62.5,24,NO,31.1, ,spherical,62.6, 
AgNP,Hep2,MTT,125,24,NO,31.1, ,spherical,53.6, 
AgNP,Hep2,MTT,250,24,NO,31.1, ,spherical,43.48, 
AgNP,Hep2,MTT,500,24,NO,31.1, ,spherical,34.2, 
AgNP,Hep2,MTT,1000,48,NO,31.1, ,spherical,18.3, 
AgNP,U937,MTT,0.04,48,SBNM,12,-32.2,spherical,99.0, 
AgNP,U937,MTT,1.0,48,SBNM,12,-32.2,spherical,85.35, 
AgNP,U937,MTT,1.93,48,SBNM,12,-32.2,spherical,77.5, 
AgNP,U937,MTT,3.81,48,SBNM,12,-32.2,spherical,75.8, 
AgNP,U937,MTT,7.6,48,SBNM,12,-32.2,spherical,72.4, 
AgNP,U937,MTT,15.15,48,SBNM,12,-32.2,spherical,38.8, 
AgNP,U937,MTT,0.04,48,SBTC,17,-55.2,spherical,99.0, 
AgNP,U937,MTT,0.99,48,SBTC,17,-55.2,spherical,89.6, 
AgNP,U937,MTT,1.9,48,SBTC,17,-55.2,spherical,85.0, 
AgNP,U937,MTT,3.8,48,SBTC,17,-55.2,spherical,39.0, 
AgNP,U937,MTT,7.5,48,SBTC,17,-55.2,spherical,38.4, 
AgNP,U937,MTT,15.15,48,SBTC,17,-55.2,spherical,36.3, 
AgNP,U937,MTT,0.04,48,SBATE,12,47.2,spherical,99.0, 
AgNP,U937,MTT,0.9,48,SBATE,12,47.2,spherical,89.74, 
AgNP,U937,MTT,2,48,SBATE,12,47.2,spherical,86.0, 
AgNP,U937,MTT,3.9,48,SBATE,12,47.2,spherical,83.9, 
AgNP,U937,MTT,7.6,48,SBATE,12,47.2,spherical,63.2, 
AgNP,U937,MTT,15.15,48,SBATE,12,47.2,spherical,49.3, 
AgNP,U937,MTT,0.04,48,SBNM,12,-32.2,spherical,99.0,  
AgNP,U937,MTT,1.0,48,SBNM,12,-32.2,spherical,92.7, 
AgNP,U937,MTT,1.93,48,SBNM,12,-32.2,spherical,79.4, 
AgNP,U937,MTT,3.81,48,SBNM,12,-32.2,spherical,37.7, 
AgNP,U937,MTT,7.6,48,SBNM,12,-32.2,spherical,36.7, 
AgNP,U937,MTT,15.15,48,SBNM,12,-32.2,spherical,35.7, 
AgNP,U937,MTT,0.04,48,SBTC,17,-55.2,spherical,99.0, 
AgNP,U937,MTT,0.99,48,SBTC,17,-55.2,spherical,89.6, 
AgNP,U937,MTT,1.9,48,SBTC,17,-55.2,spherical,85.0, 
AgNP,U937,MTT,3.8,48,SBTC,17,-55.2,spherical,71.0, 
AgNP,U937,MTT,7.5,48,SBTC,17,-55.2,spherical,60.9, 
AgNP,U937,MTT,15.15,48,SBTC,17,-55.2,spherical,30.8, 
AgNP,U937,MTT,0.04,48,SBATE,12,47.2,spherical,99.0, 
AgNP,U937,MTT,0.9,48,SBATE,12,47.2,spherical,96.6, 
AgNP,U937,MTT,2,48,SBATE,12,47.2,spherical,93.4, 
AgNP,U937,MTT,3.9,48,SBATE,12,47.2,spherical,85.7, 
AgNP,U937,MTT,7.6,48,SBATE,12,47.2,spherical,85.4, 
AgNP,U937,MTT,15.15,48,SBATE,12,47.2,spherical,80.8, 
AgNP,MC3T3-E1,CCK-8,3.9,24,NO,8.6, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,3.9,24,NO,8.6, ,spherical,96.7, 
AgNP,MC3T3-E1,CCK-8,3.9,24,NO,8.6, ,spherical,87.7, 
AgNP,MC3T3-E1,CCK-8,3.9,24,NO,8.6, ,spherical,75, 
AgNP,MC3T3-E1,CCK-8,3.9,24,NO,8.6, ,spherical,68.8, 
AgNP,MC3T3-E1,CCK-8,3.9,24,NO,8.6, ,spherical,49.4, 
AgNP,MC3T3-E1,CCK-8,7.6,24,NO,46, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,7.6,24,NO,46, ,spherical,91.7, 
AgNP,MC3T3-E1,CCK-8,7.6,24,NO,46, ,spherical,84.7, 
AgNP,MC3T3-E1,CCK-8,7.6,24,NO,46, ,spherical,75.9, 
AgNP,MC3T3-E1,CCK-8,7.6,24,NO,46, ,spherical,62.4, 
AgNP,MC3T3-E1,CCK-8,7.6,24,NO,46, ,spherical,42.9, 
AgNP,MC3T3-E1,CCK-8,15.15,24,NO,75, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,15.15,24,NO,75, ,spherical,77.6, 
AgNP,MC3T3-E1,CCK-8,15.15,24,NO,75, ,spherical,75.8, 
AgNP,MC3T3-E1,CCK-8,15.15,24,NO,75, ,spherical,68.8, 
AgNP,MC3T3-E1,CCK-8,15.15,24,NO,75, ,spherical,55.8, 
AgNP,MC3T3-E1,CCK-8,15.15,24,NO,75, ,spherical,40, 
AgNP,MC3T3-E1,CCK-8,3.9,48,NO,8.6, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,3.9,48,NO,8.6, ,spherical,88.5, 
AgNP,MC3T3-E1,CCK-8,3.9,48,NO,8.6, ,spherical,73.8, 
AgNP,MC3T3-E1,CCK-8,3.9,48,NO,8.6, ,spherical,68.5, 
AgNP,MC3T3-E1,CCK-8,3.9,48,NO,8.6, ,spherical,50.3, 
AgNP,MC3T3-E1,CCK-8,3.9,48,NO,8.6, ,spherical,32.0, 
AgNP,MC3T3-E1,CCK-8,7.6,48,NO,46, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,7.6,48,NO,46, ,spherical,77.9, 
AgNP,MC3T3-E1,CCK-8,7.6,48,NO,46, ,spherical,75.0, 
AgNP,MC3T3-E1,CCK-8,7.6,48,NO,46, ,spherical,61.5, 
AgNP,MC3T3-E1,CCK-8,7.6,48,NO,46, ,spherical,43.2, 
AgNP,MC3T3-E1,CCK-8,7.6,48,NO,46, ,spherical,34.4, 
AgNP,MC3T3-E1,CCK-8,15.15,48,NO,75, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,15.15,48,NO,75, ,spherical,33.2, 
AgNP,MC3T3-E1,CCK-8,15.15,48,NO,75, ,spherical,26.7, 
AgNP,MC3T3-E1,CCK-8,15.15,48,NO,75, ,spherical,11.5, 
AgNP,MC3T3-E1,CCK-8,15.15,48,NO,75, ,spherical,6.8, 
AgNP,MC3T3-E1,CCK-8,15.15,48,NO,75, ,spherical,5.0, 
AgNP,MC3T3-E1,CCK-8,3.9,72,NO,8.6, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,3.9,72,NO,8.6, ,spherical,73.8, 
AgNP,MC3T3-E1,CCK-8,3.9,72,NO,8.6, ,spherical,67.9, 
AgNP,MC3T3-E1,CCK-8,3.9,72,NO,8.6, ,spherical,50.9, 
AgNP,MC3T3-E1,CCK-8,3.9,72,NO,8.6, ,spherical,12.0, 
AgNP,MC3T3-E1,CCK-8,3.9,72,NO,8.6, ,spherical,10.3, 
AgNP,MC3T3-E1,CCK-8,7.6,72,NO,46, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,7.6,72,NO,46, ,spherical,66.2, 
AgNP,MC3T3-E1,CCK-8,7.6,72,NO,46, ,spherical,60.3, 
AgNP,MC3T3-E1,CCK-8,7.6,72,NO,46, ,spherical,44.4, 
AgNP,MC3T3-E1,CCK-8,7.6,72,NO,46, ,spherical,10.3, 
AgNP,MC3T3-E1,CCK-8,7.6,72,NO,46, ,spherical,10.3, 
AgNP,MC3T3-E1,CCK-8,15.15,72,NO,75, ,spherical,100.0, 
AgNP,MC3T3-E1,CCK-8,15.15,72,NO,75, ,spherical,15.0, 
AgNP,MC3T3-E1,CCK-8,15.15,72,NO,75, ,spherical,10.9, 
AgNP,MC3T3-E1,CCK-8,15.15,72,NO,75, ,spherical,10.3, 
AgNP,MC3T3-E1,CCK-8,15.15,72,NO,75, ,spherical,3.8, 
AgNP,MC3T3-E1,CCK-8,15.15,72,NO,75, ,spherical,3.2, 
AgNP,PC12,CCK-8,3.9,24,NO,8.6, ,spherical,100.0, 
AgNP,PC12,CCK-8,3.9,24,NO,8.6, ,spherical,94.3, 
AgNP,PC12,CCK-8,3.9,24,NO,8.6, ,spherical,83.9, 
AgNP,PC12,CCK-8,3.9,24,NO,8.6, ,spherical,68.4, 
AgNP,PC12,CCK-8,3.9,24,NO,8.6, ,spherical,52.3, 
AgNP,PC12,CCK-8,3.9,24,NO,8.6, ,spherical,50.0, 
AgNP,PC12,CCK-8,7.6,24,NO,46, ,spherical,100.0, 
AgNP,PC12,CCK-8,7.6,24,NO,46, ,spherical,91.9, 
AgNP,PC12,CCK-8,7.6,24,NO,46, ,spherical,81.6, 
AgNP,PC12,CCK-8,7.6,24,NO,46, ,spherical,74.1, 
AgNP,PC12,CCK-8,7.6,24,NO,46, ,spherical,66.0, 
AgNP,PC12,CCK-8,7.6,24,NO,46, ,spherical,39.6, 
AgNP,PC12,CCK-8,15.15,72,NO,75, ,spherical,100.0, 
AgNP,PC12,CCK-8,15.15,72,NO,75, ,spherical,15.0, 
AgNP,PC12,CCK-8,15.15,72,NO,75, ,spherical,10.9, 
AgNP,PC12,CCK-8,15.15,72,NO,75, ,spherical,10.3, 
AgNP,PC12,CCK-8,15.15,72,NO,75, ,spherical,3.8, 
AgNP,PC12,CCK-8,15.15,72,NO,75, ,spherical,3.2, 
AgNP,PC12,CCK-8,15.15,48,NO,8.6, ,spherical,100.0, 
AgNP,PC12,CCK-8,15.15,48,NO,8.6, ,spherical,85.3, 
AgNP,PC12,CCK-8,15.15,48,NO,8.6, ,spherical,73.3, 
AgNP,PC12,CCK-8,15.15,48,NO,8.6, ,spherical,65.2, 
AgNP,PC12,CCK-8,15.15,48,NO,8.6, ,spherical,48, 
AgNP,PC12,CCK-8,15.15,48,NO,8.6, ,spherical,31.3, 
AgNP,PC12,CCK-8,7.6,48,NO,46, ,spherical,100.0, 
AgNP,PC12,CCK-8,7.6,48,NO,46, ,spherical,74.7, 
AgNP,PC12,CCK-8,7.6,48,NO,46, ,spherical,70.7, 
AgNP,PC12,CCK-8,7.6,48,NO,46, ,spherical,60.3, 
AgNP,PC12,CCK-8,7.6,48,NO,46, ,spherical,41.9, 
AgNP,PC12,CCK-8,7.6,48,NO,46, ,spherical,31.6, 
AgNP,PC12,CCK-8,15.15,48,NO,75, ,spherical,100.0, 
AgNP,PC12,CCK-8,15.15,48,NO,75, ,spherical,33.0, 
AgNP,PC12,CCK-8,15.15,48,NO,75, ,spherical,25.0, 
AgNP,PC12,CCK-8,15.15,48,NO,75, ,spherical,11.2, 
AgNP,PC12,CCK-8,15.15,48,NO,75, ,spherical,3.7, 
AgNP,PC12,CCK-8,15.15,48,NO,75, ,spherical,3.16, 
AgNP,PC12,CCK-8,3.9,72,NO,8.6, ,spherical,100.0, 
AgNP,PC12,CCK-8,3.9,72,NO,8.6, ,spherical,62.4, 
AgNP,PC12,CCK-8,3.9,72,NO,8.6, ,spherical,39.4, 
